{'threshold': 1.8325873500093874, 'roc_auc': 0.23816017959149638, 'acc': 0.27496920985649514, 'precision': 0.45016668779019164, 'recall': 0.40306554394298233, 'f1-score': 0.20979696719063434, 'support': 186529.81196938318}
{'threshold': 1.415616586411867, 'roc_auc': 0.6426690765162447, 'acc': 0.5764243292310218, 'precision': 0.543079418071758, 'recall': 0.6385555099644579, 'f1-score': 0.4317506675277847, 'support': 186529.81196938318}
{'threshold': 1.891034812001439, 'roc_auc': 0.27053665316090814, 'acc': 0.30061215366790434, 'precision': 0.4615421138570396, 'recall': 0.4443866188602901, 'f1-score': 0.22705448957108348, 'support': 186529.81196938318}
{'threshold': 0.935437719174709, 'roc_auc': 0.3113668535043067, 'acc': 0.5037376953463549, 'precision': 0.4894054490765934, 'recall': 0.4403283447221954, 'f1-score': 0.34650165437453506, 'support': 186529.81196938318}
{'threshold': 1.4267019549253375, 'roc_auc': 0.2940329298386107, 'acc': 0.3908167826808864, 'precision': 0.48880612478648255, 'recall': 0.4422550185023271, 'f1-score': 0.2852320192160713, 'support': 186529.81196938318}
{'threshold': 1.622338996580362, 'roc_auc': 0.3530830547785585, 'acc': 0.4767700911388248, 'precision': 0.49955348891167684, 'recall': 0.45863013512865597, 'f1-score': 0.34470452758511577, 'support': 186529.81196938318}
{'threshold': 1.6232912726952278, 'roc_auc': 0.5956152486665095, 'acc': 0.5168875954494448, 'precision': 0.36985492824001953, 'recall': 0.6792444729203272, 'f1-score': 0.35015122859977865, 'support': 186529.81196938318}
{'threshold': 1.9029545044168807, 'roc_auc': 0.5400017833546895, 'acc': 0.6927006833131106, 'precision': 0.5272190573618355, 'recall': 0.6317516821711402, 'f1-score': 0.46083229202337117, 'support': 186529.81196938318}
{'threshold': 1.945609173750532, 'roc_auc': 0.6382068875217686, 'acc': 0.5845930683404341, 'precision': 0.5130989513359779, 'recall': 0.6017889154658976, 'f1-score': 0.4090515018885512, 'support': 186529.81196938318}
{'threshold': 1.6063355461857458, 'roc_auc': 0.24138888381368145, 'acc': 0.48481840657586234, 'precision': 0.45593644850613474, 'recall': 0.43790974925206816, 'f1-score': 0.30621367119164017, 'support': 186529.81196938318}
{'threshold': 1.9646373742314918, 'roc_auc': 0.6015996678506801, 'acc': 0.5558866192878582, 'precision': 0.516237927318246, 'recall': 0.608693702669896, 'f1-score': 0.4007336709892954, 'support': 186529.81196938318}
{'threshold': 1.59838596279433, 'roc_auc': 0.5508521112364936, 'acc': 0.5398246558346181, 'precision': 0.5141903318438071, 'recall': 0.559885225524452, 'f1-score': 0.38991404993024537, 'support': 186529.81196938318}
{'threshold': 1.5404735531173601, 'roc_auc': 0.6718146271621093, 'acc': 0.5848996013246603, 'precision': 0.5292117069986566, 'recall': 0.6833219984822156, 'f1-score': 0.4163439193071272, 'support': 186529.81196938318}
{'threshold': 1.1178479173229487, 'roc_auc': 0.3061968539275027, 'acc': 0.343331539142255, 'precision': 0.48156819792971595, 'recall': 0.42957475610727924, 'f1-score': 0.2521853995160881, 'support': 186529.81196938318}
{'threshold': 2.0140004132258205, 'roc_auc': 0.47461311208291684, 'acc': 0.44381049693010866, 'precision': 0.5004959903783065, 'recall': 0.551926831734778, 'f1-score': 0.3315904147943192, 'support': 186529.81196938318}
{'threshold': 2.119857280584739, 'roc_auc': 0.7387910359179565, 'acc': 0.6973369946995338, 'precision': 0.527240824553372, 'recall': 0.6778219358842109, 'f1-score': 0.4718682539655599, 'support': 186529.81196938318}
{'threshold': 1.3396765336923537, 'roc_auc': 0.6473715561421213, 'acc': 0.523996241321741, 'precision': 0.5247530500251889, 'recall': 0.6650722801706307, 'f1-score': 0.3859641376787606, 'support': 186529.81196938318}
