{'threshold': 0.8487969252765062, 'roc_auc': 0.3851584890197347, 'acc': 0.5983450868053972, 'precision': 0.4947369729995026, 'recall': 0.4932628222506472, 'f1-score': 0.39305357978701866, 'support': 186529.81196938318}
{'threshold': 0.8463772849668683, 'roc_auc': 0.35507870141735215, 'acc': 0.5714176238219919, 'precision': 0.4940518728451941, 'recall': 0.49118514171641076, 'f1-score': 0.3760501555016703, 'support': 186529.81196938318}
{'threshold': 0.829272419272813, 'roc_auc': 0.4300406032376364, 'acc': 0.6174085190625199, 'precision': 0.49924418799935055, 'recall': 0.519831024107718, 'f1-score': 0.40693302398846204, 'support': 186529.81196938318}
{'threshold': 0.8112491887243899, 'roc_auc': 0.5188393802206146, 'acc': 0.48261063924899417, 'precision': 0.5122122546291382, 'recall': 0.5765808572093364, 'f1-score': 0.3597143050172212, 'support': 186529.81196938318}
{'threshold': 0.7608346822749836, 'roc_auc': 0.3176441044302916, 'acc': 0.2811856257925611, 'precision': 0.3329357755010421, 'recall': 0.504008796778764, 'f1-score': 0.21544847171894072, 'support': 186529.81196938318}
{'threshold': 0.7622797689181379, 'roc_auc': 0.3725692217118319, 'acc': 0.3600083931650443, 'precision': 0.38310366296836285, 'recall': 0.5316632819859467, 'f1-score': 0.25559704597835253, 'support': 186529.81196938318}
{'threshold': 0.8059193117981606, 'roc_auc': 0.5819350114747098, 'acc': 0.5519126380994955, 'precision': 0.5154269775347772, 'recall': 0.5960541206862316, 'f1-score': 0.3978474922195858, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.42150812966025825, 'acc': 0.724220667256621, 'precision': 0.4991593101793459, 'recall': 0.5592255110054455, 'f1-score': 0.4359774763505075, 'support': 186529.81196938318}
{'threshold': 0.8093602199021458, 'roc_auc': 0.46971204513754067, 'acc': 0.4649995894647533, 'precision': 0.4933207685191787, 'recall': 0.4908764951774295, 'f1-score': 0.33801466142669867, 'support': 186529.81196938318}
{'threshold': 0.8030248965236769, 'roc_auc': 0.5021904610603842, 'acc': 0.46581701075602344, 'precision': 0.5087541975867833, 'recall': 0.5517810451626488, 'f1-score': 0.3487591075545627, 'support': 186529.81196938318}
{'threshold': 0.8709864789668557, 'roc_auc': 0.30771100740618823, 'acc': 0.6029084141479569, 'precision': 0.49291835927152683, 'recall': 0.505691718239265, 'f1-score': 0.37257084662280426, 'support': 186529.81196938318}
{'threshold': 0.7913051736822146, 'roc_auc': 0.5817737723594079, 'acc': 0.5347157727641795, 'precision': 0.5153703952822479, 'recall': 0.5961357713482037, 'f1-score': 0.387751819011999, 'support': 186529.81196938318}
{'threshold': 0.8338020619588875, 'roc_auc': 0.28913226686663335, 'acc': 0.3497559596033317, 'precision': 0.36932350966383737, 'recall': 0.4958832262044953, 'f1-score': 0.23973804547146613, 'support': 186529.81196938318}
{'threshold': 0.8324375453280498, 'roc_auc': 0.30387429817494005, 'acc': 0.5490005747493454, 'precision': 0.49096431308381705, 'recall': 0.47643260168650886, 'f1-score': 0.35047911128106857, 'support': 186529.81196938318}
{'threshold': 0.8725429448701171, 'roc_auc': 0.3156774831133987, 'acc': 0.5960552124291827, 'precision': 0.49117497942340077, 'recall': 0.48384575328534124, 'f1-score': 0.3700321934298953, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.2854618061517163, 'acc': 0.6410754198863273, 'precision': 0.4887555291290582, 'recall': 0.4747812048876596, 'f1-score': 0.38903529650760776, 'support': 186529.81196938318}
{'threshold': 0.8727939491929373, 'roc_auc': 0.3315923919758423, 'acc': 0.645956227819693, 'precision': 0.4923216483378219, 'recall': 0.4965538981573291, 'f1-score': 0.39538686839782383, 'support': 186529.81196938318}
{'threshold': 0.7347709961085102, 'roc_auc': 0.30982582524280816, 'acc': 0.27329787525202304, 'precision': 0.34031592108567377, 'recall': 0.5025702824281653, 'f1-score': 0.20985880722177835, 'support': 186529.81196938318}
{'threshold': 0.825709966774156, 'roc_auc': 0.4104518118588208, 'acc': 0.6130313010318119, 'precision': 0.49632298680006753, 'recall': 0.506309317713875, 'f1-score': 0.40075842304134685, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.26743226237454987, 'acc': 0.5887020700099441, 'precision': 0.49056243563530716, 'recall': 0.49168255072096273, 'f1-score': 0.36022948614388406, 'support': 186529.81196938318}
